Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-03-02,215.75,234.5,217.34,232.12,189047.5325,224.338,224.1983333,227.3842857,232.125,236.9422222,239.456,241.8509091,243.1466667,244.34,247.1235714,248.5173333,249.14125,250.0694118,252.0805556,252.9405263,253.618,252.8733333,251.5086364,250.5213043,249.39,248.3432,246.9819231,245.39,243.3489286,241.4893103,239.716,237.9025806,236.085,234.5233333,232.7270588,231.106,229.4022222,227.7251351,225.9460526,224.3141026,222.76625,221.4226829,220.1790476,218.9348837,217.7488636,216.778,215.7521739,214.6495745,213.6420833,212.664898,211.2818
2020-03-03,220,232.92,232.12,223.75,173987.9055,223.562,224.24,224.1342857,226.93,231.1944444,235.623,238.0281818,240.3425,241.6546154,242.8692857,245.5653333,246.969375,247.6476471,248.6072222,250.5894737,251.481,252.1957143,251.5495455,250.3017391,249.4058333,248.3644,247.3973077,246.1214815,244.6171429,242.6731034,240.898,239.2009677,237.4603125,235.7112121,234.2064706,232.4705714,230.9016667,229.2494595,227.6205263,225.8897436,224.3,222.7902439,221.4780952,220.262093,219.0443182,217.8822222,216.9295652,215.9223404,214.8391667,213.8483673,212.8866
2020-03-04,220.39,228.83,223.72,224.56,106846.7581,223,223.7283333,224.2857143,224.1875,226.6666667,230.531,234.6172727,236.9058333,239.1284615,240.4335714,241.6486667,244.2525,245.6511765,246.365,247.3415789,249.288,250.1990476,250.9395455,250.376087,249.2291667,248.412,247.4488462,246.5514815,245.3514286,243.9255172,242.0693333,240.3709677,238.7434375,237.0693939,235.3832353,233.9308571,232.2508333,230.7302703,229.1260526,227.5420513,225.8565,224.3063415,222.832381,221.5497674,220.3597727,219.1668889,218.0273913,217.0919149,216.1022917,215.037551,214.0626
2020-03-05,224.49,234.47,224.49,228.64,160025.9152,225.266,223.94,224.43,224.83,224.6822222,226.864,230.3590909,234.1191667,236.27,238.3792857,239.6473333,240.835625,243.3341176,244.7061111,245.4321053,246.4065,248.3047619,249.2190909,249.97,249.4704167,248.4056,247.6515385,246.7522222,245.9117857,244.7751724,243.416,241.636129,240.004375,238.4372727,236.8214706,235.1905714,233.7838889,232.1532432,230.6752632,229.1135897,227.5695,225.9243902,224.4095238,222.9674419,221.7109091,220.5437778,219.3728261,218.2531915,217.3325,216.3581633,215.3096
2020-03-06,227.77,245.84,228.6,245.56,140307.2114,230.926,228.6483333,227.0285714,227.07125,227.1333333,226.77,228.5636364,231.6258333,234.9992308,236.9335714,238.858,240.016875,241.1135294,243.4577778,244.7510526,245.4385,246.3661905,248.18,249.06,249.78625,249.314,248.2961538,247.5740741,246.7096429,245.8996552,244.8013333,243.4851613,241.75875,240.1727273,238.6467647,237.0711429,235.4786111,234.1021622,232.5060526,231.0569231,229.52475,228.0082927,226.3919048,224.9013953,223.4809091,222.2408889,221.0876087,219.93,218.8220833,217.9085714,216.9422
2020-03-07,236.67,253.01,245.53,237.75,147025.874,232.052,232.0633333,229.9485714,228.36875,228.2577778,228.195,227.7681818,229.3291667,232.0969231,235.1957143,236.988,238.78875,239.8835294,240.9266667,243.1573684,244.401,245.072381,245.9745455,247.7265217,248.58875,249.3048,248.8692308,247.9055556,247.2232143,246.4006897,245.628,244.573871,243.3059375,241.6372727,240.1014706,238.6211429,237.09,235.54,234.1981579,232.6405128,231.22425,229.7253659,228.2402381,226.6560465,225.1934091,223.798,222.5780435,221.4421277,220.30125,219.2083673,218.3054
2020-03-08,196,237.75,237.75,199.46,293962.3952,227.194,226.62,227.4057143,226.1375,225.1566667,225.378,225.5827273,225.4091667,227.0315385,229.7657143,232.8133333,234.6425,236.4752941,237.6377778,238.7442105,240.9725,242.2609524,242.9990909,243.9521739,245.7154167,246.6236,247.3876923,247.0392593,246.1753571,245.5762069,244.836,244.1387097,243.1640625,241.9772727,240.3967647,238.9402857,237.5333333,236.072973,234.5905263,233.3074359,231.811,230.4495122,229.0047619,227.5709302,226.0379545,224.6215556,223.268913,222.0861702,220.9841667,219.8759184,218.8134
2020-03-09,189.85,208.65,199.51,202.77,461839.1285,222.836,223.1233333,223.2128571,224.32625,223.5411111,222.918,223.3227273,223.6816667,223.6676923,225.2985714,227.966,230.935625,232.7676471,234.6027778,235.8026316,236.9455,239.1533333,240.4659091,241.25,242.23625,243.9976,244.9369231,245.7351852,245.4582143,244.6786207,244.1493333,243.4790323,242.8459375,241.94,240.8241176,239.3217143,237.9355556,236.5937838,235.1965789,233.7746154,232.544,231.1026829,229.7904762,228.3946512,227.0072727,225.5208889,224.1465217,222.832766,221.68375,220.612449,219.5338
2020-03-10,195.17,206.28,202.76,200.5,184956.9386,217.208,219.1133333,219.8914286,220.37375,221.6788889,221.237,220.88,221.4208333,221.8984615,222.0128571,223.6453333,226.249375,229.1452941,230.975,232.8078947,234.0375,235.21,237.3963636,238.7282609,239.5520833,240.5668,242.3246154,243.2911111,244.1196429,243.907931,243.206,242.7412903,242.1359375,241.5627273,240.7211765,239.672,238.2433333,236.9237838,235.6439474,234.3069231,232.94275,231.762439,230.3740476,229.1093023,227.7606818,226.4182222,224.9769565,223.6434043,222.3675,221.2514286,220.2102
2020-03-11,181,202.98,200.63,194.61,240340.2065,207.018,213.4416667,215.6128571,216.73125,217.5111111,218.972,218.8163636,218.6908333,219.3584615,219.9492857,220.186,221.830625,224.3882353,227.2266667,229.0610526,230.898,232.16,233.3645455,235.536087,236.89,237.7544,238.7992308,240.5574074,241.5525,242.4124138,242.2646667,241.6383871,241.2371875,240.6957576,240.1817647,239.4037143,238.4202778,237.0640541,235.8102632,234.5917949,233.3145,232.0078049,230.8778571,229.5423256,228.3252273,227.024,225.7267391,224.3308511,223.0385417,221.8010204,220.7186
